victims,date,type_of_attack,location,notes,name,age,sex,country
"Martino Raineri, male","January 17, 2022",Unprovoked,"Between Malga Seconda Posta and Forte Cherle, Folgaria, Italy","Seven wolves killed a man's dog, who was skiing at 4:00 pm. He tried to hide from the wolves who were eyeing him and called emergency help which arrived 30 minutes later. Only then did the wolves give up and leave.",Martino Raineri,NA,NA,Italy
"Martino Raineri, male","January 17, 2022",Unprovoked,"Between Malga Seconda Posta and Forte Cherle, Folgaria, Italy","Seven wolves killed a man's dog, who was skiing at 4:00 pm. He tried to hide from the wolves who were eyeing him and called emergency help which arrived 30 minutes later. Only then did the wolves give up and leave.",male,NA,male,Italy
"Stanley Russ, 72, male","May 29, 2020",Unprovoked,"Port Edward, British Columbia, Canada",A wolf attacked a man and bit his legs and arm.,Stanley Russ,NA,NA,Canada
"Stanley Russ, 72, male","May 29, 2020",Unprovoked,"Port Edward, British Columbia, Canada",A wolf attacked a man and bit his legs and arm.,NA,NA,NA,Canada
"Stanley Russ, 72, male","May 29, 2020",Unprovoked,"Port Edward, British Columbia, Canada",A wolf attacked a man and bit his legs and arm.,male,NA,male,Canada
Vlastimil Vejrosta and his wife,"April 30, 2020",Predatory,"Božanov, Czech Republic",Three wolves attempted to surround a couple near their home. Even throwing firecrackers didn't force them to run away. The couple escaped by running into their house.,Vlastimil Vejrosta,NA,NA,Czech Republic
Vlastimil Vejrosta and his wife,"April 30, 2020",Predatory,"Božanov, Czech Republic",Three wolves attempted to surround a couple near their home. Even throwing firecrackers didn't force them to run away. The couple escaped by running into their house.,his wife,NA,NA,Czech Republic
"Timur Makhametov, 23, male","December 30, 2019",Predatory,"Ketpen Village, Uighur District, Almaty Region, Kazakhstan",A wolf attacked a young man who was getting water at night. He sustained severe wounds in the head and feet.,Timur Makhametov,NA,NA,Kazakhstan
"Timur Makhametov, 23, male","December 30, 2019",Predatory,"Ketpen Village, Uighur District, Almaty Region, Kazakhstan",A wolf attacked a young man who was getting water at night. He sustained severe wounds in the head and feet.,NA,NA,NA,Kazakhstan
"Timur Makhametov, 23, male","December 30, 2019",Predatory,"Ketpen Village, Uighur District, Almaty Region, Kazakhstan",A wolf attacked a young man who was getting water at night. He sustained severe wounds in the head and feet.,male,NA,male,Kazakhstan
"Unknown, adult, male","December 12, 2019",Rabid,"Tariat District, Arkhangai Province, Mongolia",A wolf bit a shepherd's hand outside his home.,Unknown,NA,NA,Mongolia
"Unknown, adult, male","December 12, 2019",Rabid,"Tariat District, Arkhangai Province, Mongolia",A wolf bit a shepherd's hand outside his home.,adult,adult,NA,Mongolia
"Unknown, adult, male","December 12, 2019",Rabid,"Tariat District, Arkhangai Province, Mongolia",A wolf bit a shepherd's hand outside his home.,male,NA,male,Mongolia
"Vladislav Lomako, 56, male","December 8, 2019",Rabid,"Khotovo Village, Stowbtsy City, Stowbtsy District, Minsk Region, Belarus",A wolf seriously injured a man at a bus stop near a forest.,Vladislav Lomako,NA,NA,Belarus
"Vladislav Lomako, 56, male","December 8, 2019",Rabid,"Khotovo Village, Stowbtsy City, Stowbtsy District, Minsk Region, Belarus",A wolf seriously injured a man at a bus stop near a forest.,NA,NA,NA,Belarus
"Vladislav Lomako, 56, male","December 8, 2019",Rabid,"Khotovo Village, Stowbtsy City, Stowbtsy District, Minsk Region, Belarus",A wolf seriously injured a man at a bus stop near a forest.,male,NA,male,Belarus
"Zinaida Kozlovskaya, adult, female","November 22, 2019",Rabid,"Syanno, Senno District, Vitebsk Region,  Belarus",A wolf bit a woman in the evening.,Zinaida Kozlovskaya,NA,NA,  Belarus
